Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
Russia,2022,Asthma,Respiratory,8.08,3.89,0.99,36-60,Female,388563,79.83,4.81,3.51,Vaccination,45960.0,No,75.64,3330,5.17,74613.0,0.6,66.63
India,2022,HIV/AIDS,Genetic,4.24,6.62,5.78,61+,Female,814272,72.84,1.93,6.07,Surgery,13259.0,Yes,72.76,3641,3.85,96366.0,0.75,37.09
China,2023,Hypertension,Respiratory,10.03,0.53,1.04,61+,Female,652373,65.73,4.48,3.97,Therapy,41614.0,No,87.83,570,3.67,90127.0,0.79,66.21
Nigeria,2022,COVID-19,Viral,9.38,1.5,1.18,61+,Male,275122,54.81,2.68,9.84,Vaccination,6577.0,No,50.77,4894,3.97,67056.0,0.71,64.23
South Africa,2022,Diabetes,Metabolic,16.3,3.74,,61+,Female,246388,80.4,,3.48,Surgery,19329.0,No,88.19,1340,2.95,71953.0,0.41,65.74
China,2020,Polio,Metabolic,15.53,3.7,6.48,61+,Male,857626,87.1,4.07,0.93,Therapy,2067.0,No,81.8,3067,0.55,18165.0,0.48,47.04
India,2022,Rabies,Cardiovascular,2.89,3.21,4.61,61+,Other,892026,70.5,3.19,3.22,Vaccination,32946.0,No,98.44,4431,7.17,15161.0,0.43,52.16
India,2024,Asthma,Genetic,2.62,1.58,9.5,19-35,Male,510819,97.14,4.53,1.64,Therapy,38092.0,No,77.62,172,0.14,95342.0,0.62,69.85
China,2023,Dengue,,0.54,3.21,2.24,19-35,Female,112745,81.56,0.78,8.2,Surgery,37536.0,Yes,51.64,639,6.53,78003.0,0.6,29.16
India,2020,Rabies,Neurological,9.92,5.74,1.46,0-18,Female,665777,52.59,1.08,2.88,Medication,21093.0,Yes,66.41,1036,6.38,86366.0,0.89,81.44
South Africa,2020,Tuberculosis,Infectious,18.32,4.4,8.91,0-18,Female,77372,77.07,2.23,6.99,Surgery,26561.0,Yes,62.25,1341,2.43,92276.0,0.75,
South Africa,2021,Tuberculosis,Parasitic,3.14,7.88,0.57,19-35,Male,875928,75.03,0.84,0.97,Medication,41575.0,Yes,74.44,3760,3.81,43300.0,0.72,75.22
South Africa,2022,Diabetes,Chronic,10.26,2.92,1.06,0-18,Female,455782,74.49,4.07,1.45,Vaccination,32267.0,No,88.75,2983,0.1,16928.0,0.67,75.5
UK,2020,Ebola,Parasitic,7.23,13.18,2.4,61+,Male,640089,77.08,1.25,9.76,Therapy,38701.0,No,89.11,3835,9.81,6483.0,0.72,120.0
Argentina,2020,Hypertension,Cardiovascular,2.68,4.05,0.38,19-35,Male,815094,87.65,4.83,1.09,Vaccination,1444.0,Yes,61.26,4686,8.27,3763.0,0.66,74.95
