"country","disease_name","disease_category","age_group","gender","treatment_type","availability_of_vaccines_treatment","year","prevalence_rate","incidence_rate","mortality_rate","population_affected","healthcare_access","doctors_per_1000","hospital_beds_per_1000","average_treatment_cost_usd","recovery_rate","dal_ys","improvement_in_5_years","per_capita_income_usd","education_index","urbanization_rate"
"Russia","Asthma","Respiratory","Adult","Female","Vaccination","No",2022,8.08,3.89,0.99,388563,79.83,4.81,3.51,45960,75.64,3330,5.17,74613,0.6,66.63
"India","HIV/AIDS","Genetic","Senior","Female","Surgery","Yes",2022,4.24,6.62,5.78,814272,72.84,1.93,6.07,13259,72.76,3641,3.85,96366,0.75,37.09
"China","Hypertension","Respiratory","Senior","Female","Therapy","No",2023,10.03,0.53,1.04,652373,65.73,4.48,3.97,41614,87.83,570,3.67,90127,0.79,66.21
"Nigeria","COVID-19","Viral","Senior","Male","Vaccination","No",2022,9.38,1.5,1.18,275122,54.81,2.68,9.84,6577,50.77,4894,3.97,67056,0.71,64.23
"South Africa","Diabetes","Metabolic","Senior","Female","Surgery","No",2022,16.3,3.74,4.11,246388,80.4,2.79,3.48,19329,88.19,1340,2.95,71953,0.41,65.74
"China","Polio","Metabolic","Senior","Male","Therapy","No",2020,15.53,3.7,6.48,857626,87.1,4.07,0.93,2067,81.8,3067,0.55,18165,0.48,47.04
"India","Rabies","Cardiovascular","Senior","Other","Vaccination","No",2022,2.89,3.21,4.61,892026,70.5,3.19,3.22,32946,98.44,4431,7.17,15161,0.43,52.16
"India","Asthma","Genetic","Young Adult","Male","Therapy","No",2024,2.62,1.58,9.5,510819,97.14,4.53,1.64,38092,77.62,172,0.14,95342,0.62,69.85
"China","Dengue","Autoimmune","Young Adult","Female","Surgery","Yes",2023,0.54,3.21,2.24,112745,81.56,0.78,8.2,37536,51.64,639,6.53,78003,0.6,29.16
"India","Rabies","Neurological","Child","Female","Medication","Yes",2020,9.92,5.74,1.46,665777,52.59,1.08,2.88,21093,66.41,1036,6.38,86366,0.89,81.44
"South Africa","Tuberculosis","Infectious","Child","Female","Surgery","Yes",2020,18.32,4.4,8.91,77372,77.07,2.23,6.99,26561,62.25,1341,2.43,92276,0.75,56.61
"South Africa","Tuberculosis","Parasitic","Young Adult","Male","Medication","Yes",2021,3.14,7.88,0.57,875928,75.03,0.84,0.97,41575,74.44,3760,3.81,43300,0.72,75.22
"South Africa","Diabetes","Chronic","Child","Female","Vaccination","No",2022,10.26,2.92,1.06,455782,74.49,4.07,1.45,32267,88.75,2983,0.1,16928,0.67,75.5
"UK","Ebola","Parasitic","Senior","Male","Therapy","No",2020,7.23,13.18,2.4,640089,77.08,1.25,9.76,38701,89.11,3835,9.81,6483,0.72,120
"Argentina","Hypertension","Cardiovascular","Young Adult","Male","Vaccination","Yes",2020,2.68,4.05,0.38,815094,87.65,4.83,1.09,1444,61.26,4686,8.27,3763,0.66,74.95
"South Africa","Malaria","Respiratory","Adult","Other","Therapy","No",2020,14,0.66,9.92,746581,57.43,0.87,5.3,32683,51.83,3004,0.01,60280,0.87,30.79
"South Africa","Zika","Autoimmune","Adult","Female","Vaccination","No",2020,3.57,10.49,3.47,722364,75.68,3.53,6.97,30301,62.05,3418,1.74,42798,0.73,76.23
"Argentina","Leprosy","Neurological","Adult","Female","Therapy","No",2020,14.37,11.11,9.86,499092,87.23,1.72,4.32,27295,94.52,3890,1.65,94526,0.85,50.09
"UK","Zika","Chronic","Senior","Male","Medication","Yes",2024,13.27,2.19,6.14,193585,67.27,0.79,6.32,26798,71.77,3714,0.7,6090,0.7,70.41
"China","Asthma","Respiratory","Senior","Male","Vaccination","Yes",2021,18.55,9,1.91,468485,54.4,0.88,0.51,27903,77.46,4653,0.11,59338,0.62,70.46
"Nigeria","Hypertension","Cardiovascular","Senior","Male","Vaccination","Yes",2024,15.65,3.06,6.34,767194,96.15,3.37,2.18,772,87.51,2879,4.34,14594,0.84,52.5
"Russia","Malaria","Genetic","Young Adult","Other","Therapy","No",2023,1.84,9.47,4.43,288244,84.57,2.71,7.59,30534,89.47,1374,5.06,84934,0.76,27.42
"Russia","Malaria","Bacterial","Senior","Male","Vaccination","No",2020,0.13,6.3,4.81,564578,82.36,2.58,4.74,17687,55.17,2563,4.34,67371,0.73,52.72
"India","Zika","Bacterial","Child","Male","Medication","No",2022,19.12,3.97,6.79,758767,61.1,1.05,2.97,25673,68.96,1011,0.31,81624,0.62,78.59
"Argentina","COVID-19","Metabolic","Senior","Other","Surgery","Yes",2022,4.12,5.1,2.2,386498,77.05,4.78,4.8,23164,85.86,367,8.52,69215,0.81,30.13
"India","Hypertension","Neurological","Senior","Other","Therapy","No",2020,14.58,13.46,0.46,708431,78.93,2.04,2,10173,67.66,351,3.76,33268,0.79,81.46
"Argentina","Polio","Infectious","Young Adult","Other","Medication","Yes",2024,12.09,4.18,9.25,92242,56.36,2.97,5.96,NA,72.28,3624,4.43,53825,0.67,83.44
"Russia","Cholera","Parasitic","Child","Female","Medication","No",2022,8.57,2.15,1.94,354473,77.08,3.17,9.47,6082,81.44,1982,6.02,94505,0.54,43.08
"Nigeria","Zika","Infectious","Young Adult","Female","Vaccination","No",2021,14.36,9.72,5.44,119285,56.75,0.59,2.2,40071,76.52,1569,6.23,36512,0.42,29.61
"UK","Dengue","Chronic","Young Adult","Male","Surgery","Yes",2024,7.18,14.24,1.22,93813,55.56,3.24,8.48,12458,79.13,2045,2.32,67806,0.44,47.92
"UK","Cholera","Metabolic","Young Adult","Other","Surgery","Yes",2024,11.66,0.5,4.19,450084,63.27,3.27,7.76,47475,57.69,80,2.35,67247,0.76,88.05
"India","HIV/AIDS","Autoimmune","Senior","Other","Medication","Yes",2020,6.12,13.4,0.76,277713,74.01,3.94,7.28,12605,67.09,4935,6.32,66429,0.77,59.17
"UK","Measles","Chronic","Senior","Other","Vaccination","No",2022,9.26,7.61,0.74,612702,97.44,0.74,7.22,3720,89.76,3599,0.93,25198,0.43,43.22
"India","Leprosy","Bacterial","Senior","Female","Surgery","No",2020,1.06,7.19,4.96,200896,52.97,4.05,4.18,38177,90.44,101,9.2,24292,0.6,88.27
"Nigeria","Tuberculosis","Infectious","Child","Other","Medication","No",2023,9.36,2.12,6.03,173811,62.59,2.47,7.34,15413,75.97,3486,4.68,48589,0.52,55.41
"Nigeria","Diabetes","Metabolic","Child","Male","Surgery","No",2021,0.24,8.22,4.11,411283,95.49,3.27,2.17,2652,73.52,3212,6.5,15228,0.75,89.91
"South Africa","Rabies","Viral","Senior","Female","Medication","Yes",2020,3.66,3.14,7.54,180341,80.17,2.93,5.2,36932,93.97,98,7.74,67499,0.68,33.52
"South Africa","Malaria","Bacterial","Adult","Female","Therapy","No",2020,18.92,4.64,7.74,355637,73.53,4.1,5.71,35018,56.85,2900,6.62,74852,0.66,32.77
"India","COVID-19","Cardiovascular","Adult","Female","Surgery","Yes",2024,11.03,9.09,6.31,301213,58.56,0.89,7.17,20743,97.73,2763,2.38,56901,0.58,63.87
"UK","Cholera","Genetic","Adult","Female","Surgery","No",2023,4.63,1.3,3.28,339997,82,4.27,7.34,20708,62.3,621,2.94,95695,0.68,78.81
"Nigeria","Malaria","Neurological","Young Adult","Other","Vaccination","No",2023,17.11,11.92,8.24,701501,55.01,1.3,6.34,30625,66.22,818,2.64,10974,0.81,44.04
"USA","Alzheimer's Disease","Metabolic","Child","Female","Vaccination","No",2023,12.52,4.61,2.69,661800,75.8,2.01,3.85,28319,52.8,1753,5.91,88647,0.62,48.62
"South Africa","Ebola","Infectious","Senior","Male","Surgery","No",2022,0.22,0.26,5.56,44143,90.02,3.9,2.95,43167,88.7,797,3.67,69631,0.61,80.6
"India","Cholera","Parasitic","Young Adult","Other","Vaccination","Yes",2021,13.92,13.63,7.37,530927,88.83,2.16,0.5,247,96,3175,5.79,8815,0.47,74.39
"South Africa","Malaria","Viral","Young Adult","Female","Therapy","No",2021,9.05,9.29,1.26,670951,89.58,2.84,5.37,23247,66.77,57,1.81,10292,0.46,34.66
"Nigeria","Diabetes","Genetic","Adult","Other","Surgery","No",2022,8,6.52,7.87,292569,72.58,3.18,6.61,21512,57.1,4554,3.61,70555,0.73,43.31
"South Africa","Leprosy","Metabolic","Adult","Other","Therapy","No",2020,3.3,12.48,2.51,689872,66.88,1.22,1.8,38215,55.61,512,8.81,8076,0.87,45.45
"Russia","Measles","Genetic","Senior","Female","Vaccination","No",2020,10.21,10.39,5.63,446014,93.62,1.94,0.52,19962,98.54,1243,0.38,21781,0.41,64.51
"India","Diabetes","Cardiovascular","Child","Female","Vaccination","No",2024,5.41,10.45,0.38,580470,92.18,4.81,3.09,22983,79.16,2680,2.96,25381,0.61,79.34
"China","Dengue","Respiratory","Child","Male","Therapy","No",2022,9.18,9.26,8.62,44807,89.23,1.86,6.86,27988.25,92.97,2119,8.31,71447,0.66,31.89
"Russia","Hepatitis","Genetic","Child","Other","Surgery","Yes",2024,14.13,14.24,7.4,609851,73.07,4.46,1.35,21042,74.9,1632,0.29,90276,0.73,39.98
"Russia","Dengue","Cardiovascular","Child","Male","Therapy","Yes",2024,9.2,9.38,8.71,796650,94.87,4.46,6.46,44403,50.81,3974,0.3,52516,0.64,45.87
"UK","Zika","Respiratory","Young Adult","Female","Therapy","No",2024,16.7,5.08,2.34,94533,95.94,3.91,3.22,12859,60.33,1987,3.66,17999,0.58,66.76
"India","Cancer","Respiratory","Young Adult","Female","Vaccination","Yes",2023,10.32,1.64,3.13,560895,92.52,2.24,4.52,24282,66.2,2669,8.63,60657,0.48,33.37
"Nigeria","Polio","Infectious","Young Adult","Male","Surgery","No",2024,13.57,14.03,1.31,234446,73.33,2.38,4.54,3764,64.46,749,8.86,71096,0.68,59.82
"South Africa","Measles","Cardiovascular","Child","Other","Surgery","No",2020,17.19,6.98,3.37,531674,87.6,1.99,6.72,26404,70.43,1367,9.57,50281,0.75,84.13
"UK","Leprosy","Viral","Child","Other","Vaccination","No",2023,6.07,2,9.6,267830,77.74,1.65,6.88,30051,73.73,1401,6.23,93125,0.49,62.32
"Argentina","Measles","Viral","Child","Male","Vaccination","No",2020,14.96,11.37,7.96,722731,83.63,3.06,4.52,4100,64,251,8.99,45204,0.61,75.78
"UK","Alzheimer's Disease","Respiratory","Young Adult","Female","Medication","Yes",2023,14.27,11.95,7.75,36663,69.39,2.29,2.5,8324,92.9,117,6.77,75111,0.89,32.9
"South Africa","Ebola","Parasitic","Young Adult","Other","Surgery","No",2024,16.6,0.55,5.84,623998,87.39,1.83,2.61,34062,90.36,4768,4.14,60149,0.69,31.53
"UK","Parkinson's Disease","Bacterial","Child","Other","Therapy","No",2023,4.77,2.94,5.92,447727,96.36,4.13,7.23,31647,69.73,1742,3.96,91290,0.68,68.78
"Nigeria","Influenza","Infectious","Young Adult","Male","Therapy","No",2020,4.93,11.87,3.34,287384,72.59,2.51,9.06,41648,71.58,1837,6.66,74960,0.44,69.4
"India","Hypertension","Neurological","Young Adult","Female","Medication","Yes",2024,17.05,11.69,2.19,434403,93.31,3.84,3.57,25856,66.21,2416,6.59,40182,0.52,37.33
"Russia","Leprosy","Neurological","Adult","Other","Therapy","No",2023,15.42,4.86,3.37,635244,96.93,3.16,5.57,28257,75.23,2940,7.08,49867,0.59,38.99
"USA","Zika","Autoimmune","Young Adult","Other","Vaccination","Yes",2022,9.25,8.45,9.34,114491,76.14,2.06,1.73,23009,73.42,4514,6.03,50753,0.41,38.45
"South Africa","Polio","Metabolic","Senior","Other","Therapy","No",2021,12.1,12.44,6.32,733645,77.58,2.01,5.17,49993,95.82,2450,8.27,15190,0.63,50.45
"South Africa","Alzheimer's Disease","Viral","Adult","Other","Surgery","Yes",2022,2.26,6.86,4.6,962979,62.39,2.46,1.1,48894,73.37,1837,2.4,51244,0.53,22.14
"UK","Polio","Parasitic","Child","Female","Therapy","No",2021,0.99,11.8,3.69,281861,90.89,2.21,9.68,32109,84.51,4120,2.45,68181,0.56,75.25
"Russia","COVID-19","Neurological","Child","Male","Vaccination","No",2020,4.06,0.97,4.66,818713,52.05,3.61,7.85,9918,57.55,3041,3.99,87273,0.49,49.6
"USA","Zika","Infectious","Young Adult","Male","Therapy","Yes",2021,0.73,5.4,0.54,297468,77.33,3.83,8.51,8917,78.11,4714,9.58,98565,0.59,84.95
"Russia","Influenza","Parasitic","Child","Other","Medication","Yes",2022,5.98,11.22,0.15,504203,81.26,4.8,7.41,30783,73.61,429,5.79,8916,0.62,55.95
"UK","Tuberculosis","Chronic","Child","Other","Surgery","Yes",2023,18.37,2.18,7.08,676411,63.84,2.8,3.76,30302,50.28,2329,8.14,12939,0.45,79.8
"South Africa","COVID-19","Neurological","Senior","Other","Therapy","Yes",2021,3.1,3.19,3.83,573275,97.22,2.58,1.17,25467,95.42,4646,6.73,92854,0.9,72.87
