"country","year","disease_name","disease_category","prevalence_rate","incidence_rate","mortality_rate","age_group","gender","population_affected","healthcare_access","doctors_per_1000","hospital_beds_per_1000","treatment_type","average_treatment_cost_usd","availability_of_vaccines_treatment","recovery_rate","dal_ys","improvement_in_5_years","per_capita_income_usd","education_index","urbanization_rate"
4,2022,1,9,8.08,3.89,0.99,2,0,388563,79.83,4.81,3.51,3,45960,0,75.64,3330,5.17,74613,0.6,66.63
2,2022,9,4,4.24,6.62,5.78,3,0,814272,72.84,1.93,6.07,1,13259,1,72.76,3641,3.85,96366,0.75,37.09
1,2023,10,9,10.03,0.53,1.04,3,0,652373,65.73,4.48,3.97,2,41614,0,87.83,570,3.67,90127,0.79,66.21
3,2022,4,10,9.38,1.5,1.18,3,1,275122,54.81,2.68,9.84,3,6577,0,50.77,4894,3.97,67056,0.71,64.23
5,2022,6,6,16.3,3.74,4.11,3,0,246388,80.4,2.791481481,3.48,1,19329,0,88.19,1340,2.95,71953,0.41,65.74
1,2020,16,6,15.53,3.7,6.48,3,1,857626,87.1,4.07,0.93,2,2067,0,81.8,3067,0.55,18165,0.48,47.04
2,2022,17,2,2.89,3.21,4.61,3,2,892026,70.5,3.19,3.22,3,32946,0,98.44,4431,7.17,15161,0.43,52.16
2,2024,1,4,2.62,1.58,9.5,1,1,510819,97.14,4.53,1.64,2,38092,0,77.62,172,0.14,95342,0.62,69.85
1,2023,5,0,0.54,3.21,2.24,1,0,112745,81.56,0.78,8.2,1,37536,1,51.64,639,6.53,78003,0.6,29.16
2,2020,17,7,9.92,5.74,1.46,0,0,665777,52.59,1.08,2.88,0,21093,1,66.41,1036,6.38,86366,0.89,81.44
5,2020,18,5,18.32,4.4,8.91,0,0,77372,77.07,2.23,6.99,1,26561,1,62.25,1341,2.43,92276,0.75,56.60823529
5,2021,18,8,3.14,7.88,0.57,1,1,875928,75.03,0.84,0.97,0,41575,1,74.44,3760,3.81,43300,0.72,75.22
