"country","year","disease_name","disease_category","prevalence_rate","incidence_rate","mortality_rate","age_group","gender","population_affected","healthcare_access","doctors_per_1000","hospital_beds_per_1000","treatment_type","average_treatment_cost_usd","availability_of_vaccines_treatment","recovery_rate","dal_ys","improvement_in_5_years","per_capita_income_usd","education_index","urbanization_rate"
"Italy",2023,"Hypertension","Parasitic",10.67,7.36,6.31,"Adult","Male",264440,95.67,3.03,8.8,"Therapy",29773,"Yes",97.82,2714,6.81,73578,0.67,52.32
"Indonesia",2022,"Diabetes","Genetic",6.68,8.28,5.62,"Child","Female",299836,50.03,4.58,7.65,"Vaccination",38558,"Yes",91.3,3395,3.02,75667,0.48,58.9
"Germany",2021,"Influenza","Respiratory",14.43,6.69,3.42,"Adult","Other",410128,99.17,1.26,5.69,"Surgery",29108,"No",61.32,339,0.36,41095,0.81,74.72
"USA",2023,"Polio","Bacterial",0.91,1.62,4.81,"Young Adult","Male",986178,68.62,1.98,4.07,"Vaccination",15810,"No",72.82,1878,7.65,21294,0.69,80.76
"UK",2022,"Cholera","Autoimmune",8.28,7.74,4.01,"Senior","Male",305143,73.78,0.96,9.15,"Therapy",16874,"Yes",94.42,636,3.61,91409,0.48,57.79
"Germany",2020,"HIV/AIDS","Parasitic",11.99,10.35,1.4,"Adult","Other",516469,88.96,3.77,4.6,"Vaccination",11529,"No",69.98,2575,2.48,20165,0.61,32.11
"Saudi Arabia",2021,"Ebola","Cardiovascular",12.58,5.19,3.79,"Young Adult","Male",405827,76.44,4.07,7.51,"Therapy",41882,"No",69.55,3306,3.72,38390,0.4,62.16
"China",2024,"Malaria","Chronic",15.85,9.2,8.17,"Child","Other",55232,66.98,4.9,8.03,"Vaccination",9996,"Yes",70.53,4027,9.4,18691,0.53,67.15
"Japan",2023,"Diabetes","Chronic",9.26,2.02,4.06,"Adult","Male",467377,99.3,0.64,9.23,"Vaccination",36466,"No",92.04,1404,0.69,69996,0.59,81.28
"Turkey",2024,"Ebola","Genetic",11.63,11.37,0.21,"Adult","Female",290386,56.49,4.62,1.61,"Medication",17224,"No",88.49,1478,5.27,29969,0.88,40.73
"Australia",2024,"Alzheimer's Disease","Parasitic",16.3,6.48,0.67,"Senior","Female",569268,98.59,2.51,3.73,"Therapy",20714,"No",68.79,4197,5.65,52228,0.73,85.71
"China",2023,"Cancer","Genetic",16.61,7.96,2.88,"Adult","Female",797557,82.9,2.49,7.65,"Vaccination",13474,"Yes",82.6,4676,0.14,74030,0.63,70.45
"USA",2024,"Asthma","Viral",3.21,8.87,8.82,"Child","Male",267140,76.64,3.86,2.47,"Vaccination",44077,"No",60.44,2733,3.54,47447,0.66,56.5215
"UK",2021,"Parkinson's Disease","Autoimmune",12.87,2.83,7.17,"Adult","Other",900979,98.12,3.7,9.88,"Therapy",29967,"Yes",86.75,2311,7.48,16051,0.52,22.57
"China",2021,"Diabetes","Parasitic",15.58,14.37,3.68,"Young Adult","Female",615235,94.37,4.82,3.74,"Vaccination",38494,"No",76.36,2422,3.65,3702,0.85,87.18
"Turkey",2021,"Tuberculosis","Metabolic",3.67,5.73,7.33,"Senior","Other",332901,94.37,1.68,1.82,"Medication",20869,"No",91.89,3255,1.15,11337,0.75,24.27
"USA",2020,"Zika","Parasitic",11.84,14.45,5.46,"Senior","Male",749179,75.99,4.64,5.44,"Vaccination",22669,"Yes",56.43,2427,3.62,23056,0.57,57.46
"South Africa",2024,"Zika","Metabolic",3.87,9.65,7.2,"Senior","Male",502571,61.93,4.96,0.76,"Medication",16204,"No",95.13,2105,3.04,71345,0.55,87.37
"Saudi Arabia",2020,"Malaria","Infectious",19.9,2.7,3.64,"Senior","Female",904032,92.26,2.07,3.25,"Medication",21281,"No",82.48,3617,5.33,13873,0.65,70.91
"Japan",2023,"Tuberculosis","Genetic",5.46,2.94,9.77,"Adult","Male",790272,74.5745228215768,4.25,4.05,"Medication",26917,"No",59.87,961,3.61,40683,0.44,64.78
"Nigeria",2024,"Ebola","Respiratory",11.69,10.72,1.45,"Senior","Male",442332,50.09,3.66,8.29,"Medication",44396,"No",58.7,3266,7.21,95575,0.59,81.3
